340386 function calls (338531 primitive calls) in 434.562 seconds

  Ordered by: internal time

  ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     742  433.891    0.585  433.953    0.585 {built-in method casadi._casadi.Function_call}
     742    0.087    0.000    0.238    0.000 fitter.py:80(generate_collocation_matrix)
       1    0.059    0.059  434.562  434.562 optimize.py:931(_minimize_bfgs)
    2063    0.055    0.000    0.055    0.000 {built-in method numpy.dot}
   14840    0.053    0.000    0.053    0.000 {method 'argmin' of 'numpy.ndarray' objects}
   10388    0.031    0.000    0.050    0.000 casadi.py:129(DM_from_array)
   14840    0.025    0.000    0.038    0.000 shape_base.py:83(atleast_2d)
15585/15214    0.017    0.000    0.054    0.000 {built-in method numpy.array}
   10388    0.016    0.000    0.016    0.000 {method 'astype' of 'numpy.ndarray' objects}
    2226    0.016    0.000    0.028    0.000 frame.py:2893(__getitem__)
    2163    0.013    0.000    0.013    0.000 {built-in method numpy.zeros}
     371    0.012    0.000  221.458    0.597 fitter.py:100(obj_func)
     339    0.011    0.000  433.437    1.279 linesearch.py:106(scalar_search_wolfe1)
   30392    0.011    0.000    0.019    0.000 {built-in method builtins.isinstance}
     371    0.011    0.000    0.016    0.000 {built-in method casadi._casadi.transpose}
     742    0.011    0.000    0.105    0.000 fitter.py:88(pad_observations)
     371    0.010    0.000  212.950    0.574 fitter.py:112(obj_jac)
   14840    0.010    0.000    0.073    0.000 fromnumeric.py:1110(argmin)
    1484    0.010    0.000    0.010    0.000 casadi.py:54(_swig_setattr_nondynamic)
    1484    0.009    0.000    0.078    0.000 base.py:1117(__iter__)
     742    0.009    0.000    0.009    0.000 {built-in method numpy.concatenate}
     742    0.008    0.000    0.046    0.000 shape_base.py:283(<listcomp>)
   23745    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
   14840    0.008    0.000    0.064    0.000 fromnumeric.py:54(_wrapfunc)
    2968    0.008    0.000    0.016    0.000 common.py:1845(_is_dtype_type)
     370    0.008    0.000  212.450    0.574 linesearch.py:89(derphi)
38957/37473    0.007    0.000    0.012    0.000 {built-in method builtins.len}
    2226    0.006    0.000    0.007    0.000 base.py:3917(__contains__)
    5936    0.006    0.000    0.010    0.000 managers.py:1549(internal_values)
     742    0.005    0.000    0.011    0.000 fitter.py:6(argsplit)
     742    0.005    0.000    0.093    0.000 shape_base.py:229(vstack)
   14840    0.005    0.000    0.010    0.000 numeric.py:541(asanyarray)
    5936    0.005    0.000    0.015    0.000 series.py:476(_values)
     341    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    1484    0.004    0.000    0.016    0.000 common.py:403(is_datetime64_dtype)
    5936    0.004    0.000    0.008    0.000 generic.py:7(_check)
     370    0.004    0.000  220.974    0.597 linesearch.py:85(phi)
    1484    0.004    0.000    0.046    0.000 common.py:702(is_datetimelike)
     742    0.004    0.000  433.960    0.585 casadi.py:13621(__call__)
    1113    0.004    0.000    0.004    0.000 casadi.py:77(_swig_getattr)
